time,user_load,user_power,elec_price,pv_power
Day 4 21:00,0.59,0.95,0.58,0.51
Day 4 21:10,0.23,0.82,0.56,0.29
Day 4 21:20,0.17,0.12,0.66,0.7
Day 4 21:30,0.98,0.14,0.45,0.66
Day 4 21:40,0.69,0.49,0.37,0.31
Day 4 21:50,0.96,0.58,0.62,0.15
Day 4 22:00,0.63,0.31,0.53,0.87
Day 4 22:10,0.61,0.49,0.33,0.1
Day 4 22:20,0.85,0.87,0.41,0.62
Day 4 22:30,0.18,0.12,0.67,0.21
Day 4 22:40,0.64,0.71,0.42,0.66
Day 4 22:50,0.17,0.72,0.57,0.45
Day 4 23:00,0.64,0.56,0.68,0.4
Day 4 23:10,0.87,0.26,0.44,0.14
Day 4 23:20,0.54,0.49,0.52,0.56
Day 4 23:30,0.99,0.31,0.6,0.41
Day 4 23:40,0.09,0.91,0.64,0.47
Day 4 23:50,0.97,0.03,0.32,0.02
Day 5 00:00,0.97,0.23,0.7,0.78
Day 5 00:10,0.13,0.26,0.57,0.96
Day 5 00:20,0.71,0.98,0.68,0.02
Day 5 00:30,0.41,0.47,0.42,0.3
Day 5 00:40,0.96,0.23,0.54,0.61
Day 5 00:50,0.58,0.55,0.39,0.43
Day 5 01:00,0.09,0.55,0.68,0.88
Day 5 01:10,0.33,0.63,0.69,0.25
Day 5 01:20,0.1,0.01,0.45,0.06
Day 5 01:30,0.0,0.7,0.33,0.83
Day 5 01:40,0.41,0.11,0.49,0.07
Day 5 01:50,0.02,0.07,0.42,0.36
Day 5 02:00,0.98,0.26,0.48,0.05
Day 5 02:10,0.22,0.33,0.5,0.84
Day 5 02:20,0.06,0.35,0.4,0.01
Day 5 02:30,0.72,0.69,0.58,0.2
Day 5 02:40,0.95,0.09,0.43,0.24
Day 5 02:50,0.92,0.19,0.66,0.37
Day 5 03:00,0.35,0.59,0.43,0.95
Day 5 03:10,0.18,0.18,0.63,0.29
Day 5 03:20,0.7,0.24,0.61,0.75
Day 5 03:30,0.53,0.87,0.39,0.89
Day 5 03:40,0.92,0.37,0.65,0.92
Day 5 03:50,0.88,0.31,0.32,0.51
Day 5 04:00,0.36,0.48,0.31,0.04
Day 5 04:10,0.6,0.26,0.42,0.23
Day 5 04:20,0.27,0.34,0.56,0.61
Day 5 04:30,0.12,0.17,0.5,0.67
Day 5 04:40,0.59,0.61,0.65,0.47
Day 5 04:50,0.08,0.25,0.47,0.75
Day 5 05:00,0.37,0.52,0.49,0.21
Day 5 05:10,0.11,0.23,0.35,0.85
Day 5 05:20,0.55,0.24,0.54,0.94
Day 5 05:30,0.51,0.42,0.46,0.01
Day 5 05:40,0.79,0.03,0.63,0.59
Day 5 05:50,0.76,0.72,0.5,0.92
Day 5 06:00,0.65,0.76,0.62,0.14
Day 5 06:10,0.15,0.48,0.46,0.38
Day 5 06:20,0.35,0.13,0.39,0.85
Day 5 06:30,0.35,0.52,0.42,0.17
Day 5 06:40,0.35,0.81,0.62,0.92
Day 5 06:50,0.86,0.37,0.48,0.14
Day 5 07:00,0.2,0.32,0.52,0.68
Day 5 07:10,0.14,0.8,0.64,0.41
Day 5 07:20,0.96,0.61,0.34,0.23
Day 5 07:30,0.05,0.1,0.37,0.75
Day 5 07:40,0.04,0.63,0.3,0.96
Day 5 07:50,0.38,0.45,0.32,0.01
Day 5 08:00,0.18,0.23,0.46,0.79
Day 5 08:10,0.77,0.59,0.57,0.0
Day 5 08:20,0.65,0.17,0.6,0.45
Day 5 08:30,0.87,0.94,0.41,0.59
Day 5 08:40,0.07,0.53,0.54,0.09
Day 5 08:50,0.84,0.71,0.48,0.39
Day 5 09:00,0.86,0.62,0.5,0.27
Day 5 09:10,0.86,0.46,0.65,0.69
Day 5 09:20,0.6,0.11,0.58,0.56
Day 5 09:30,0.23,0.98,0.53,0.28
Day 5 09:40,0.02,0.24,0.6,0.73
Day 5 09:50,0.95,0.44,0.65,0.77
Day 5 10:00,0.82,0.57,0.56,0.06
Day 5 10:10,0.07,0.16,0.32,0.94
Day 5 10:20,0.86,0.91,0.33,0.41
Day 5 10:30,0.73,0.79,0.3,0.01
Day 5 10:40,0.47,0.6,0.56,0.29
Day 5 10:50,0.97,0.26,0.61,0.82
Day 5 11:00,0.27,0.13,0.48,0.49
Day 5 11:10,0.92,0.86,0.59,0.56
Day 5 11:20,0.27,0.23,0.56,0.84
Day 5 11:30,0.28,0.32,0.42,0.82
Day 5 11:40,0.0,0.98,0.43,0.98
Day 5 11:50,0.23,0.12,0.4,0.51
Day 5 12:00,0.91,0.56,0.6,1.0
Day 5 12:10,0.95,0.03,0.52,0.25
Day 5 12:20,0.99,0.1,0.59,1.0
Day 5 12:30,0.77,0.94,0.63,0.97
Day 5 12:40,0.63,0.25,0.57,0.6
Day 5 12:50,0.52,0.19,0.54,0.3
Day 5 13:00,0.71,0.74,0.39,0.64
Day 5 13:10,0.3,0.73,0.47,0.71
Day 5 13:20,0.81,0.74,0.55,0.25
Day 5 13:30,0.79,0.13,0.41,0.7
Day 5 13:40,0.59,0.63,0.48,0.54
Day 5 13:50,0.32,0.01,0.35,0.41
Day 5 14:00,0.98,0.09,0.56,0.82
Day 5 14:10,0.87,0.71,0.69,0.26
Day 5 14:20,0.08,0.35,0.61,0.32
Day 5 14:30,0.38,0.51,0.44,0.45
Day 5 14:40,0.05,0.11,0.56,0.32
Day 5 14:50,0.72,0.57,0.38,0.61
Day 5 15:00,0.87,0.08,0.57,0.22
Day 5 15:10,0.42,0.96,0.41,0.09
Day 5 15:20,0.26,0.21,0.6,0.02
Day 5 15:30,0.9,0.12,0.41,0.68
Day 5 15:40,0.71,0.87,0.42,0.72
Day 5 15:50,0.53,0.66,0.62,0.58
Day 5 16:00,0.21,0.22,0.65,0.09
Day 5 16:10,0.55,0.43,0.68,0.85
Day 5 16:20,0.76,0.62,0.54,0.58
Day 5 16:30,0.42,0.87,0.7,0.9
Day 5 16:40,0.92,0.95,0.39,0.71
Day 5 16:50,0.9,0.74,0.59,0.29
Day 5 17:00,0.07,0.85,0.42,0.97
Day 5 17:10,0.2,0.14,0.65,0.3
Day 5 17:20,0.33,0.59,0.32,0.4
Day 5 17:30,0.18,0.99,0.36,0.81
Day 5 17:40,0.99,0.45,0.6,0.58
Day 5 17:50,0.37,0.08,0.56,0.99
Day 5 18:00,0.78,0.99,0.46,0.37
Day 5 18:10,0.48,0.99,0.53,0.29
Day 5 18:20,0.85,0.93,0.68,0.86
Day 5 18:30,0.79,0.57,0.49,0.32
Day 5 18:40,0.02,0.34,0.49,0.63
Day 5 18:50,0.25,0.01,0.55,0.04
Day 5 19:00,0.94,0.93,0.41,0.64
Day 5 19:10,0.39,0.56,0.51,0.82
Day 5 19:20,0.07,0.03,0.63,0.73
Day 5 19:30,0.79,0.63,0.58,0.57
Day 5 19:40,0.28,0.89,0.51,0.31
Day 5 19:50,0.62,0.1,0.67,0.64
Day 5 20:00,0.17,0.85,0.43,0.78
Day 5 20:10,0.19,0.43,0.69,0.66
Day 5 20:20,0.08,0.14,0.66,0.17
Day 5 20:30,0.66,0.38,0.42,0.42
Day 5 20:40,0.99,0.81,0.5,0.57
Day 5 20:50,0.51,0.42,0.38,0.43
Day 5 21:00,0.83,0.45,0.44,0.32
Day 5 21:10,0.78,0.41,0.49,0.42
Day 5 21:20,0.86,0.05,0.67,0.22
Day 5 21:30,0.27,0.21,0.39,0.69
Day 5 21:40,0.64,0.5,0.59,0.37
Day 5 21:50,0.69,0.33,0.53,0.7
Day 5 22:00,0.91,0.42,0.31,0.62
Day 5 22:10,0.84,0.42,0.4,0.3
Day 5 22:20,0.44,1.0,0.44,0.95
Day 5 22:30,0.95,0.74,0.49,0.35
Day 5 22:40,0.58,0.81,0.38,0.78
Day 5 22:50,0.4,0.63,0.33,0.52
Day 5 23:00,0.72,0.22,0.69,0.26
Day 5 23:10,0.68,0.84,0.42,0.27
Day 5 23:20,0.01,0.08,0.41,0.86
Day 5 23:30,0.38,0.34,0.6,0.24
Day 5 23:40,0.49,0.04,0.39,0.47
Day 5 23:50,0.68,0.65,0.64,0.11
Day 6 00:00,0.2,0.09,0.37,0.08
Day 6 00:10,0.09,0.95,0.67,0.8
Day 6 00:20,0.5,0.31,0.63,0.61
Day 6 00:30,0.04,0.28,0.63,0.4
Day 6 00:40,0.06,0.78,0.37,0.06
Day 6 00:50,0.84,0.61,0.3,0.14
Day 6 01:00,0.73,0.47,0.38,0.89
Day 6 01:10,1.0,0.2,0.42,0.64
Day 6 01:20,0.67,0.48,0.46,0.6
Day 6 01:30,0.8,0.91,0.56,0.57
Day 6 01:40,0.52,0.1,0.35,0.87
Day 6 01:50,0.64,0.05,0.41,0.84
Day 6 02:00,0.78,0.34,0.62,0.23
Day 6 02:10,0.66,0.57,0.61,0.89
Day 6 02:20,0.55,0.89,0.41,0.72
Day 6 02:30,0.76,0.62,0.41,0.44
Day 6 02:40,0.42,0.81,0.38,0.15
Day 6 02:50,0.43,0.24,0.59,0.04
Day 6 03:00,0.67,0.26,0.58,0.08
Day 6 03:10,0.64,0.17,0.58,0.85
Day 6 03:20,0.14,0.38,0.45,0.77
Day 6 03:30,0.17,0.25,0.37,0.03
Day 6 03:40,0.41,0.13,0.49,0.19
Day 6 03:50,0.1,0.66,0.56,0.25
Day 6 04:00,0.64,0.15,0.55,0.17
Day 6 04:10,0.73,0.52,0.51,0.92
Day 6 04:20,0.85,0.96,0.43,0.79
Day 6 04:30,0.1,0.64,0.54,1.0
Day 6 04:40,0.31,0.93,0.46,0.13
Day 6 04:50,0.26,0.61,0.42,0.32
Day 6 05:00,0.75,0.32,0.6,0.17
Day 6 05:10,0.4,0.78,0.5,0.35
Day 6 05:20,0.86,0.28,0.53,0.71
Day 6 05:30,0.71,0.49,0.38,0.14
Day 6 05:40,0.76,0.51,0.43,0.68
Day 6 05:50,0.14,0.68,0.67,0.7
Day 6 06:00,0.23,0.59,0.35,0.84
Day 6 06:10,0.74,0.37,0.45,0.97
Day 6 06:20,0.41,0.45,0.67,0.87
Day 6 06:30,0.27,0.39,0.34,0.65
Day 6 06:40,1.0,0.09,0.56,0.47
Day 6 06:50,0.94,0.84,0.4,0.85
Day 6 07:00,0.85,0.47,0.59,0.97
Day 6 07:10,0.96,0.2,0.59,0.32
Day 6 07:20,0.85,0.4,0.31,0.89
Day 6 07:30,0.75,0.43,0.3,0.35
Day 6 07:40,0.23,0.24,0.33,0.86
Day 6 07:50,0.5,0.96,0.34,0.68
Day 6 08:00,0.59,0.76,0.43,0.42
Day 6 08:10,0.63,0.11,0.3,0.35
Day 6 08:20,0.46,0.96,0.69,0.84
Day 6 08:30,0.54,0.99,0.46,0.99
Day 6 08:40,0.15,0.74,0.64,0.65
Day 6 08:50,0.85,0.82,0.44,0.68
Day 6 09:00,0.66,0.75,0.65,0.25
Day 6 09:10,0.95,0.41,0.3,0.47
Day 6 09:20,0.18,0.49,0.38,0.96
Day 6 09:30,0.1,0.92,0.4,0.93
Day 6 09:40,0.16,0.52,0.48,0.66
Day 6 09:50,0.87,0.62,0.69,0.24
Day 6 10:00,0.16,0.08,0.45,0.59
Day 6 10:10,0.89,0.12,0.53,0.8
Day 6 10:20,0.75,0.9,0.62,0.74
Day 6 10:30,0.14,0.99,0.41,0.88
Day 6 10:40,0.23,0.75,0.52,0.58
Day 6 10:50,0.16,0.13,0.65,0.11
Day 6 11:00,0.12,0.55,0.61,0.46
Day 6 11:10,0.31,0.38,0.64,0.28
Day 6 11:20,0.46,0.64,0.52,0.82
Day 6 11:30,0.8,0.53,0.66,0.9
Day 6 11:40,0.21,0.69,0.33,0.94
Day 6 11:50,0.81,0.15,0.37,0.15
Day 6 12:00,0.48,0.98,0.66,0.68
Day 6 12:10,0.66,0.35,0.63,0.53
Day 6 12:20,0.53,0.43,0.63,0.67
Day 6 12:30,0.73,0.89,0.57,0.97
Day 6 12:40,0.29,0.53,0.67,0.04
Day 6 12:50,0.74,0.84,0.47,0.32
Day 6 13:00,0.13,0.12,0.5,0.72
Day 6 13:10,0.31,0.97,0.63,0.24
Day 6 13:20,0.28,0.08,0.48,0.49
Day 6 13:30,0.61,0.81,0.32,0.77
Day 6 13:40,0.86,0.44,0.68,0.16
Day 6 13:50,0.68,0.8,0.41,0.22
Day 6 14:00,0.15,0.48,0.38,0.33
Day 6 14:10,0.08,0.81,0.43,0.87
Day 6 14:20,0.05,0.6,0.47,0.02
Day 6 14:30,0.88,0.27,0.53,0.29
Day 6 14:40,0.93,0.77,0.33,0.84
Day 6 14:50,0.59,0.22,0.62,0.83
Day 6 15:00,0.46,0.72,0.59,0.92
Day 6 15:10,0.21,0.2,0.53,0.86
Day 6 15:20,0.51,0.46,0.61,0.67
Day 6 15:30,0.07,0.5,0.55,0.22
Day 6 15:40,0.21,0.45,0.53,0.1
Day 6 15:50,0.93,0.14,0.4,0.71
Day 6 16:00,0.41,0.33,0.37,0.5
Day 6 16:10,0.95,0.63,0.51,0.49
Day 6 16:20,0.1,0.07,0.43,0.01
Day 6 16:30,0.55,0.12,0.57,0.46
Day 6 16:40,0.27,0.2,0.58,0.52
Day 6 16:50,0.82,0.63,0.64,0.94
Day 6 17:00,0.15,0.95,0.35,0.08
Day 6 17:10,0.41,0.23,0.4,0.43
Day 6 17:20,0.36,0.52,0.53,0.48
Day 6 17:30,0.97,0.32,0.51,0.72
Day 6 17:40,0.57,0.71,0.33,0.48
Day 6 17:50,0.13,0.32,0.33,0.01
Day 6 18:00,0.81,0.76,0.63,0.33
Day 6 18:10,0.11,0.84,0.31,0.25
Day 6 18:20,0.97,0.22,0.31,0.64
Day 6 18:30,0.88,0.33,0.44,0.1
Day 6 18:40,0.36,0.87,0.47,0.4
Day 6 18:50,0.85,0.94,0.46,0.97
Day 6 19:00,0.22,0.56,0.59,0.47
Day 6 19:10,0.38,0.5,0.63,0.13
Day 6 19:20,0.5,0.96,0.43,0.4
Day 6 19:30,0.14,0.79,0.41,0.78
Day 6 19:40,0.74,0.16,0.44,0.6
Day 6 19:50,0.71,0.57,0.65,0.06
Day 6 20:00,0.09,0.41,0.48,0.75
Day 6 20:10,0.44,0.25,0.53,0.11
Day 6 20:20,0.3,0.91,0.45,0.67
Day 6 20:30,0.1,0.78,0.45,0.8
Day 6 20:40,0.87,0.98,0.49,0.47
Day 6 20:50,0.94,0.55,0.47,0.84
Day 6 21:00,0.16,0.71,0.39,0.35
Day 6 21:10,0.95,0.27,0.54,0.0
Day 6 21:20,0.69,0.47,0.31,0.71
Day 6 21:30,0.58,0.77,0.53,0.26
Day 6 21:40,0.29,0.33,0.33,0.3
Day 6 21:50,0.85,0.2,0.65,0.79
Day 6 22:00,0.44,0.28,0.6,0.01
Day 6 22:10,0.96,0.93,0.35,0.57
Day 6 22:20,0.37,0.47,0.48,0.27
Day 6 22:30,0.11,0.01,0.68,0.64
Day 6 22:40,0.43,0.46,0.38,0.22
Day 6 22:50,0.28,0.45,0.55,0.87
Day 6 23:00,0.44,0.85,0.6,0.98
Day 6 23:10,0.02,0.98,0.64,0.06
Day 6 23:20,0.82,0.14,0.33,0.24
Day 6 23:30,0.84,0.8,0.55,0.02
Day 6 23:40,0.69,0.77,0.53,0.98
Day 6 23:50,0.76,0.95,0.61,0.42
Day 7 00:00,0.31,0.66,0.41,0.52
Day 7 00:10,0.16,0.22,0.43,0.78
Day 7 00:20,0.25,0.42,0.4,0.93
Day 7 00:30,0.29,0.32,0.31,0.34
Day 7 00:40,0.11,0.79,0.34,0.07
Day 7 00:50,0.32,0.27,0.53,0.58
Day 7 01:00,0.5,0.29,0.35,0.13
Day 7 01:10,0.22,0.12,0.57,0.41
Day 7 01:20,0.56,0.4,0.68,0.1
Day 7 01:30,0.38,0.43,0.65,0.83
Day 7 01:40,0.16,0.85,0.56,0.15
Day 7 01:50,0.73,0.06,0.68,0.58
Day 7 02:00,0.14,0.45,0.63,0.36
Day 7 02:10,0.54,0.59,0.39,0.51
Day 7 02:20,0.3,0.36,0.4,0.28
Day 7 02:30,0.3,0.38,0.45,0.19
Day 7 02:40,0.83,0.17,0.49,0.75
Day 7 02:50,0.73,0.59,0.55,0.98
Day 7 03:00,0.13,0.04,0.54,0.16
Day 7 03:10,0.13,0.27,0.44,0.47
Day 7 03:20,0.93,0.93,0.53,0.92
Day 7 03:30,0.11,0.18,0.38,0.48
Day 7 03:40,0.09,0.28,0.61,0.24
Day 7 03:50,0.4,0.88,0.36,0.28
Day 7 04:00,0.25,0.63,0.47,0.41
Day 7 04:10,0.73,0.77,0.59,0.68
Day 7 04:20,0.57,0.78,0.65,0.07
Day 7 04:30,0.23,0.77,0.61,0.09
Day 7 04:40,0.62,0.14,0.4,0.37
Day 7 04:50,0.11,0.91,0.69,0.79
Day 7 05:00,0.25,0.03,0.59,0.14
Day 7 05:10,0.78,0.54,0.52,0.92
Day 7 05:20,0.42,0.94,0.42,0.98
Day 7 05:30,0.55,0.72,0.44,0.92
Day 7 05:40,0.37,0.38,0.52,0.35
Day 7 05:50,0.58,0.24,0.53,0.09
Day 7 06:00,0.39,0.02,0.45,0.51
Day 7 06:10,0.05,0.49,0.66,0.98
Day 7 06:20,0.69,0.38,0.56,0.55
Day 7 06:30,0.43,0.84,0.55,0.35
Day 7 06:40,0.42,0.3,0.33,0.98
Day 7 06:50,0.92,0.03,0.69,0.48
Day 7 07:00,0.52,0.53,0.64,0.6
Day 7 07:10,0.12,0.69,0.58,0.78
Day 7 07:20,0.41,0.42,0.61,0.54
Day 7 07:30,0.79,0.32,0.41,0.19
Day 7 07:40,0.92,0.4,0.37,0.17
Day 7 07:50,0.93,0.49,0.57,0.06
Day 7 08:00,0.84,0.34,0.39,0.17
Day 7 08:10,0.53,0.87,0.52,0.41
Day 7 08:20,0.22,0.43,0.66,0.69
Day 7 08:30,0.94,0.27,0.6,0.96
Day 7 08:40,0.03,0.69,0.42,0.76
Day 7 08:50,0.19,0.31,0.49,0.91
Day 7 09:00,0.63,0.22,0.68,0.79
Day 7 09:10,0.94,0.62,0.5,0.47
Day 7 09:20,0.52,0.35,0.47,0.13
Day 7 09:30,0.33,0.41,0.36,0.03
Day 7 09:40,0.76,0.77,0.39,0.62
Day 7 09:50,0.28,0.9,0.39,0.34
Day 7 10:00,0.8,0.32,0.54,0.61
Day 7 10:10,0.54,1.0,0.34,0.32
Day 7 10:20,0.8,0.4,0.69,0.15
Day 7 10:30,0.32,0.51,0.62,0.72
Day 7 10:40,0.29,0.55,0.69,0.6
Day 7 10:50,0.71,0.45,0.59,0.82
Day 7 11:00,0.4,0.74,0.4,0.94
Day 7 11:10,0.04,0.4,0.34,0.14
Day 7 11:20,0.8,0.66,0.51,0.79
Day 7 11:30,0.96,0.77,0.41,0.97
Day 7 11:40,0.51,0.59,0.53,0.87
Day 7 11:50,0.13,0.15,0.49,0.98
Day 7 12:00,0.51,0.74,0.53,0.47
Day 7 12:10,0.03,0.62,0.41,0.61
Day 7 12:20,0.6,0.82,0.3,0.45
Day 7 12:30,0.12,0.37,0.43,0.61
Day 7 12:40,0.61,0.21,0.41,0.24
Day 7 12:50,0.91,0.36,0.56,0.98
Day 7 13:00,0.97,0.04,0.65,0.55
Day 7 13:10,0.66,0.75,0.36,0.98
Day 7 13:20,0.66,0.23,0.42,0.44
Day 7 13:30,0.95,0.4,0.59,0.16
Day 7 13:40,0.31,0.9,0.65,0.56
Day 7 13:50,0.83,0.55,0.35,0.73
Day 7 14:00,0.35,0.9,0.6,0.79
Day 7 14:10,0.05,0.79,0.43,0.68
Day 7 14:20,0.13,0.94,0.68,0.85
Day 7 14:30,0.56,0.05,0.67,0.36
Day 7 14:40,0.44,0.39,0.48,0.82
Day 7 14:50,0.62,0.36,0.35,0.42
Day 7 15:00,0.43,0.49,0.51,0.82
Day 7 15:10,0.25,0.66,0.4,0.44
Day 7 15:20,0.21,0.81,0.63,0.58
Day 7 15:30,0.17,0.82,0.6,0.56
Day 7 15:40,0.49,0.03,0.49,0.42
Day 7 15:50,0.51,0.6,0.33,0.11
Day 7 16:00,0.84,0.45,0.52,0.92
Day 7 16:10,0.15,0.73,0.4,0.93
Day 7 16:20,0.27,0.63,0.41,0.74
Day 7 16:30,0.6,0.65,0.49,0.03
Day 7 16:40,0.14,0.83,0.48,0.61
Day 7 16:50,0.99,0.04,0.49,0.66
Day 7 17:00,0.83,0.04,0.31,0.91
Day 7 17:10,0.45,0.47,0.3,0.05
Day 7 17:20,0.14,0.5,0.37,0.09
Day 7 17:30,0.07,0.67,0.31,0.32
Day 7 17:40,0.05,0.7,0.34,0.26
Day 7 17:50,0.17,0.73,0.5,0.22
Day 7 18:00,0.12,0.29,0.42,0.47
Day 7 18:10,0.1,0.82,0.42,0.58
Day 7 18:20,0.05,0.42,0.38,0.15
Day 7 18:30,0.4,0.74,0.52,0.94
Day 7 18:40,0.12,0.49,0.5,0.96
Day 7 18:50,0.28,1.0,0.37,0.24
Day 7 19:00,0.49,0.22,0.39,0.83
Day 7 19:10,0.78,0.01,0.68,0.27
Day 7 19:20,0.47,0.67,0.34,0.77
Day 7 19:30,0.73,0.46,0.68,0.91
Day 7 19:40,0.6,0.59,0.61,0.96
Day 7 19:50,0.07,0.75,0.55,0.84
Day 7 20:00,0.13,0.7,0.67,0.52
Day 7 20:10,0.51,0.94,0.48,0.86
Day 7 20:20,0.84,0.48,0.37,0.82
Day 7 20:30,0.93,0.54,0.52,0.59
Day 7 20:40,0.79,0.97,0.55,0.52
Day 7 20:50,0.68,0.74,0.54,0.15
Day 7 21:00,0.35,0.37,0.37,0.21
Day 7 21:10,0.59,0.66,0.47,0.12
Day 7 21:20,0.27,0.43,0.44,0.63
Day 7 21:30,0.98,0.23,0.52,0.25
Day 7 21:40,0.46,0.64,0.66,0.26
Day 7 21:50,0.15,0.13,0.62,0.23
Day 7 22:00,0.24,0.07,0.58,0.08
Day 7 22:10,0.63,0.1,0.53,0.9
Day 7 22:20,0.66,0.03,0.45,0.03
Day 7 22:30,0.09,0.36,0.34,0.94
Day 7 22:40,0.19,0.38,0.35,0.41
Day 7 22:50,0.55,0.79,0.68,0.62
Day 7 23:00,0.32,0.18,0.41,0.72
Day 7 23:10,0.48,0.15,0.42,0.11
Day 7 23:20,0.27,0.52,0.59,0.63
Day 7 23:30,0.57,0.63,0.54,0.08
Day 7 23:40,0.51,0.17,0.45,0.05
Day 7 23:50,0.08,0.46,0.66,0.26
Day 8 00:00,0.27,0.15,0.5,0.2
Day 8 00:10,0.57,0.37,0.68,0.83
Day 8 00:20,0.16,0.36,0.52,0.09
Day 8 00:30,0.41,0.04,0.46,0.95
Day 8 00:40,0.29,0.08,0.48,0.42
Day 8 00:50,0.02,0.11,0.41,0.03
Day 8 01:00,0.69,0.81,0.51,0.97
Day 8 01:10,0.72,0.81,0.68,0.67
Day 8 01:20,0.25,0.09,0.7,0.03
Day 8 01:30,0.97,0.09,0.39,0.63
Day 8 01:40,0.89,0.93,0.61,0.91
Day 8 01:50,0.74,0.25,0.48,0.72
Day 8 02:00,0.17,0.66,0.39,0.69
Day 8 02:10,0.78,0.01,0.42,0.06
Day 8 02:20,0.27,0.8,0.3,0.11
Day 8 02:30,0.58,0.76,0.69,0.43
Day 8 02:40,0.49,0.56,0.57,0.09
Day 8 02:50,0.98,0.17,0.5,0.98
Day 8 03:00,0.56,0.58,0.67,0.85
Day 8 03:10,0.44,0.56,0.52,0.35
Day 8 03:20,0.87,0.05,0.45,0.58
Day 8 03:30,0.99,0.37,0.32,0.04
Day 8 03:40,0.95,0.43,0.68,0.88
Day 8 03:50,0.82,0.76,0.68,0.99
Day 8 04:00,0.6,0.41,0.6,0.53
Day 8 04:10,0.56,0.62,0.62,0.43
Day 8 04:20,0.31,0.4,0.57,0.77
Day 8 04:30,0.39,0.01,0.63,0.71
Day 8 04:40,0.65,0.15,0.53,0.86
Day 8 04:50,0.01,0.86,0.52,0.66
Day 8 05:00,0.45,0.08,0.42,0.39
Day 8 05:10,0.44,0.56,0.63,0.11
Day 8 05:20,0.23,0.47,0.45,0.1
Day 8 05:30,0.23,0.57,0.61,0.74
Day 8 05:40,0.96,0.42,0.69,0.61
Day 8 05:50,0.98,0.74,0.6,0.08
Day 8 06:00,0.03,0.72,0.44,0.63
Day 8 06:10,0.18,0.99,0.49,0.89
Day 8 06:20,0.53,0.25,0.31,0.45
Day 8 06:30,0.27,0.45,0.68,0.81
Day 8 06:40,0.46,0.32,0.66,0.19
Day 8 06:50,0.49,0.09,0.59,0.41
Day 8 07:00,0.85,0.86,0.36,0.85
Day 8 07:10,0.47,0.7,0.55,0.32
Day 8 07:20,0.82,0.49,0.38,0.43
Day 8 07:30,0.52,0.05,0.65,0.72
Day 8 07:40,0.22,0.71,0.39,0.17
Day 8 07:50,0.28,0.52,0.65,0.79
Day 8 08:00,0.96,0.84,0.44,0.14
Day 8 08:10,0.72,0.73,0.54,0.95
Day 8 08:20,0.05,0.36,0.55,0.33
Day 8 08:30,0.86,0.69,0.33,0.7
Day 8 08:40,0.24,0.91,0.58,0.47
Day 8 08:50,0.53,0.19,0.43,0.93
Day 8 09:00,0.27,0.61,0.63,0.1
Day 8 09:10,0.52,0.66,0.36,0.57
Day 8 09:20,0.69,0.9,0.51,0.65
Day 8 09:30,0.26,0.63,0.46,0.69
Day 8 09:40,0.9,0.89,0.68,0.61
Day 8 09:50,0.26,0.64,0.42,0.99
Day 8 10:00,0.94,0.87,0.49,0.54
Day 8 10:10,0.39,0.18,0.34,0.07
Day 8 10:20,0.06,0.24,0.55,0.48
Day 8 10:30,0.3,0.31,0.66,0.13
Day 8 10:40,0.87,0.01,0.59,0.96
Day 8 10:50,0.17,0.26,0.41,0.64
Day 8 11:00,0.93,0.8,0.62,0.92
Day 8 11:10,0.12,0.68,0.41,0.6
Day 8 11:20,0.98,0.46,0.59,0.12
Day 8 11:30,0.55,0.42,0.56,0.39
Day 8 11:40,0.15,0.06,0.49,0.51
Day 8 11:50,0.02,0.8,0.39,0.15
Day 8 12:00,0.19,0.66,0.34,0.25
Day 8 12:10,0.59,0.8,0.51,0.9
Day 8 12:20,0.23,0.81,0.66,0.1
Day 8 12:30,0.82,0.62,0.56,0.53
Day 8 12:40,0.88,0.11,0.34,0.67
Day 8 12:50,0.35,0.69,0.51,0.02
Day 8 13:00,0.8,0.04,0.42,0.74
Day 8 13:10,0.42,0.67,0.52,0.47
Day 8 13:20,0.28,0.4,0.6,0.27
Day 8 13:30,0.25,0.11,0.53,0.36
Day 8 13:40,0.48,0.95,0.48,0.73
Day 8 13:50,0.26,0.01,0.66,0.51
Day 8 14:00,0.61,0.77,0.55,0.99
Day 8 14:10,0.08,0.2,0.32,0.41
Day 8 14:20,0.94,0.97,0.6,0.07
Day 8 14:30,0.07,0.66,0.63,0.86
Day 8 14:40,0.08,0.99,0.54,0.65
Day 8 14:50,0.27,0.66,0.59,0.62
Day 8 15:00,0.2,0.07,0.52,0.6
Day 8 15:10,0.8,0.41,0.36,0.15
Day 8 15:20,0.56,0.8,0.41,0.7
Day 8 15:30,0.54,0.65,0.5,0.78
Day 8 15:40,0.67,0.96,0.46,0.32
Day 8 15:50,0.74,0.8,0.46,0.5
Day 8 16:00,0.75,0.36,0.56,0.36
Day 8 16:10,0.76,0.4,0.68,0.91
Day 8 16:20,0.04,0.78,0.47,0.52
Day 8 16:30,0.72,0.16,0.44,0.86
Day 8 16:40,0.96,0.35,0.41,0.52
Day 8 16:50,0.84,0.57,0.55,0.74
Day 8 17:00,0.38,0.15,0.3,0.11
Day 8 17:10,0.24,0.18,0.48,0.13
Day 8 17:20,0.22,0.32,0.51,0.91
Day 8 17:30,0.38,0.47,0.68,0.02
Day 8 17:40,0.83,0.21,0.67,0.02
Day 8 17:50,0.97,0.11,0.31,0.17
Day 8 18:00,0.07,0.71,0.51,0.07
